molregno,Compound ChEMBL ID,docid
415847,CHEMBL249024,"[37843, 45100]"
1166752,CHEMBL1809051,"[58439, 84147]"
1755185,CHEMBL3277136,[83713]
496431,CHEMBL456259,[46548]
408804,CHEMBL241685,[37542]
101907,CHEMBL417566,[12385]
577167,CHEMBL567748,[49081]
1594833,CHEMBL3084942,[6305]
631287,CHEMBL1085861,[51268]
87686,CHEMBL56116,[15436]
516444,CHEMBL449665,[45866]
1951361,CHEMBL3590204,[92696]
711597,CHEMBL1275639,[53674]
1462014,CHEMBL2227871,[67955]
1275384,CHEMBL1940529,[60847]
423893,CHEMBL252829,[38260]
523642,CHEMBL529895,[46924]
1176997,CHEMBL1830293,[58970]
260036,CHEMBL156010,[4674]
262474,CHEMBL160536,[5333]
429560,CHEMBL261658,[39396]
581883,CHEMBL569222,[48826]
47960,CHEMBL33308,[7809]
617740,CHEMBL1077887,[50171]
368684,CHEMBL220848,[34988]
545771,CHEMBL553580,[5827]
304689,CHEMBL368217,[20365]
1746117,CHEMBL3261161,[83181]
315814,CHEMBL187790,[20596]
1149319,CHEMBL1782660,[57892]
1924116,CHEMBL3526419,[92097]
1578317,CHEMBL2419535,[74639]
1837000,CHEMBL3407528,[91338]
49291,CHEMBL285072,[7268]
648227,CHEMBL1171380,[51723]
1844727,CHEMBL3427335,[91764]
632803,CHEMBL1084814,[51425]
1827878,CHEMBL3394066,[90949]
480067,CHEMBL513470,"[46696, 51753]"
1516959,CHEMBL2322807,[72089]
266162,CHEMBL161147,[10015]
325092,CHEMBL194081,[21007]
257230,CHEMBL347674,[13231]
548338,CHEMBL543948,[1086]
1608327,CHEMBL3093941,[76254]
1837375,CHEMBL3410596,[91345]
1830623,CHEMBL3400432,[91172]
476444,CHEMBL475203,[46200]
649986,CHEMBL1172376,[51829]
1611618,CHEMBL3103545,[76602]
685993,CHEMBL1214143,[52175]
466586,CHEMBL464876,[41939]
243953,CHEMBL356785,"[13736, 70747]"
165384,CHEMBL99951,"[13860, 11848, 7910, 17254, 17254, 20150, 20444, 31298, 37669, 60963, 82654]"
689106,CHEMBL1222667,[52392]
716652,CHEMBL1290238,[53977]
1144147,CHEMBL1773113,[57488]
197467,CHEMBL119699,[6484]
612639,CHEMBL1076508,[50202]
1584107,CHEMBL2432044,[75009]
713292,CHEMBL1277317,[53910]
1790083,CHEMBL3331081,[90755]
621167,CHEMBL1090176,"[50718, 58454]"
353789,CHEMBL380401,[31450]
137223,CHEMBL438218,[14047]
1149179,CHEMBL1782522,[57788]
1790878,CHEMBL3334751,[89205]
1429336,CHEMBL2165894,[65795]
1141159,CHEMBL1766129,[57301]
2087137,CHEMBL3809798,[99373]
392942,CHEMBL389998,"[36358, 61668, 62025]"
1439395,CHEMBL2178599,[66586]
1950802,CHEMBL3589650,[92689]
143534,CHEMBL314632,[5679]
1071196,CHEMBL1673243,[55525]
187790,CHEMBL111910,[12056]
1503281,CHEMBL2303830,[2149]
2078779,CHEMBL3785652,[98895]
704919,CHEMBL1255937,"[53172, 51887, 51887, 51887, 51887, 51887, 75466, 83415, 83416]"
1265848,CHEMBL1922255,[60323]
1791889,CHEMBL3335752,[89508]
1788905,CHEMBL3329914,[89218]
198439,CHEMBL120263,[13053]
1150653,CHEMBL1783981,[57869]
484623,CHEMBL484043,"[43444, 41769, 99182]"
225830,CHEMBL138644,[4634]
1759690,CHEMBL3289146,[83945]
440783,CHEMBL271967,"[38815, 72364, 91691, 98600]"
1956210,CHEMBL3601316,"[93053, 93112, 94904]"
623675,CHEMBL1093259,[50830]
1351542,CHEMBL2048113,[62475]
414582,CHEMBL401407,[37757]
1779346,CHEMBL3310248,[90216]
311863,CHEMBL359571,[21024]
686113,CHEMBL1214261,[52176]
309089,CHEMBL365881,[20200]
1559848,CHEMBL2380449,[73554]
504066,CHEMBL505146,"[2016, 41104, 51887]"
497659,CHEMBL475972,"[46378, 44664, 50743]"
1964768,CHEMBL3618415,[93463]
309944,CHEMBL184256,[20248]
2050515,CHEMBL3736050,[97338]
1623901,CHEMBL3127277,[77248]
646255,CHEMBL1164431,[51451]
127633,CHEMBL82197,[3282]
1282645,CHEMBL1957117,[61304]
1823662,CHEMBL3359493,[89971]
1781507,CHEMBL3314783,[90352]
1817972,CHEMBL3353860,[90077]
2073824,CHEMBL3775157,[98620]
1446111,CHEMBL2206476,[66905]
208628,CHEMBL339026,"[16593, 16593]"
1733248,CHEMBL3234732,[82409]
711607,CHEMBL1275648,[53674]
580127,CHEMBL567238,[49135]
1473418,CHEMBL2237884,[69104]
30699,CHEMBL23781,[7236]
1175000,CHEMBL1821759,[58865]
1059464,CHEMBL1644584,[54614]
1440173,CHEMBL2179369,"[66669, 91092]"
471115,CHEMBL461212,"[45174, 52263, 65566]"
1822661,CHEMBL3358502,[89651]
1283330,CHEMBL1957795,[61268]
434814,CHEMBL402545,[39166]
212907,CHEMBL339072,"[2420, 47031]"
712396,CHEMBL1276430,[53822]
140215,CHEMBL86812,[15005]
1757965,CHEMBL3287438,[83841]
1743683,CHEMBL3251023,[82547]
230878,CHEMBL344706,"[15205, 15744, 21209, 31432, 48395, 54726, 57478, 74817]"
651550,CHEMBL1172951,[51814]
582219,CHEMBL566890,"[48889, 69185]"
57027,CHEMBL288612,"[15895, 17383]"
1820790,CHEMBL3356650,[89875]
1588016,CHEMBL2441501,[75408]
623114,CHEMBL1091640,[50779]
57018,CHEMBL39466,[6261]
1053345,CHEMBL1631007,[54212]
1839615,CHEMBL3416415,[91553]
349757,CHEMBL208577,[31303]
1565341,CHEMBL2391766,[73903]
624048,CHEMBL1092940,[50820]
319124,CHEMBL190099,"[20519, 45063]"
2093558,CHEMBL3822613,[99710]
1784979,CHEMBL3322416,[90472]
68529,CHEMBL44807,[8435]
1619710,CHEMBL3120399,"[76993, 97712]"
479451,CHEMBL468527,[46730]
1268099,CHEMBL1927146,[60426]
1143818,CHEMBL1771506,[57405]
1150565,CHEMBL1783894,[57881]
1264317,CHEMBL1916856,[60112]
49781,CHEMBL32379,[3759]
1144709,CHEMBL1773669,[57558]
49002,CHEMBL285735,"[17737, 4379, 76401]"
1823287,CHEMBL3359122,"[89556, 99537]"
612106,CHEMBL1080288,[50224]
438060,CHEMBL403071,[38411]
1160765,CHEMBL1797703,[58099]
2076991,CHEMBL3785471,[98816]
121959,CHEMBL310245,[4990]
552910,CHEMBL538822,[9730]
1579382,CHEMBL2420590,[74671]
1820481,CHEMBL3356344,[89935]
60995,CHEMBL288138,[201]
648558,CHEMBL1170608,[51653]
19239,CHEMBL17479,"[14349, 21537]"
2060048,CHEMBL3754490,[97770]
153124,CHEMBL92135,[4527]
551826,CHEMBL538776,[12451]
462150,CHEMBL502787,[43389]
1799650,CHEMBL3351043,[10984]
1954623,CHEMBL3597667,[92893]
135318,CHEMBL432186,[1860]
283824,CHEMBL170930,[6139]
12082,CHEMBL13393,[3681]
19491,CHEMBL17252,[1175]
23276,CHEMBL613,"[11721, 13099, 16783, 35103, 37683, 44329, 51919, 51887, 55976, 60194]"
1150830,CHEMBL1784156,[57883]
1739207,CHEMBL3246591,[82774]
1949223,CHEMBL3586008,[92661]
1275648,CHEMBL1940790,[60768]
1142568,CHEMBL1770269,[57460]
705106,CHEMBL1256122,[53154]
330686,CHEMBL197170,[30133]
2068318,CHEMBL3763784,[98396]
1621355,CHEMBL3122028,[77046]
87485,CHEMBL293823,[12874]
58836,CHEMBL38874,"[3698, 10976, 16887, 17733, 17480, 6269, 15923, 1284, 2703, 11123, 16467, 14493, 2790, 12456, 4022, 3414, 3460, 15610, 9617, 15191, 11206, 10021, 3565, 16341, 20185, 21121, 21694, 30571, 30746, 31109, 31490, 31659, 35613, 35835, 35977, 36495, 36542, 36586, 36597, 37896, 38119, 38754, 39273, 39419, 42574, 45431, 43854, 43813, 45005, 41786, 42044, 44050, 45287, 45091, 46383, 46647, 46432, 47632, 48525, 48670, 49140, 49184, 49287, 49225, 50730, 50978, 52184, 52824, 45320, 54776, 56053, 57260, 57263, 58066, 59112, 61195, 62426, 64053, 64340, 65578, 65805, 66594, 66611, 67046, 72694, 72782, 73618, 73763, 73892, 73872, 73877, 74359, 74619, 74620, 74890, 75230, 82464, 83061, 89424, 89355, 89294, 90579, 90662, 91175, 91372, 92984, 97620, 98348, 98621, 99227, 99370]"
710568,CHEMBL1271317,[53455]
1746522,CHEMBL3261562,[83255]
1564816,CHEMBL2391246,"[73982, 92617]"
416178,CHEMBL399662,[37852]
207280,CHEMBL126755,[16591]
424993,CHEMBL255102,[39259]
300060,CHEMBL178393,[20705]
