molregno,Compound ChEMBL ID
902218,CHEMBL1478334
32986,CHEMBL24275
1285838,CHEMBL1964547
193270,CHEMBL420701
463323,CHEMBL465544
261077,CHEMBL156852
1980137,CHEMBL3647369
257893,CHEMBL154429
1311768,CHEMBL1990477
643772,CHEMBL1162233
384517,CHEMBL230163
1948154,CHEMBL3582091
1829563,CHEMBL3397839
610699,CHEMBL1079672
771451,CHEMBL1347567
1788533,CHEMBL3329546
453122,CHEMBL443394
1411428,CHEMBL2139477
251887,CHEMBL357745
985389,CHEMBL1561505
1610842,CHEMBL3100057
1763288,CHEMBL3298946
1325822,CHEMBL2004531
1020285,CHEMBL1596401
1304226,CHEMBL1982935
1487723,CHEMBL2270420
504818,CHEMBL458265
258078,CHEMBL346788
10053,CHEMBL11949
70487,CHEMBL45237
405485,CHEMBL240174
227213,CHEMBL136119
316011,CHEMBL411309
256852,CHEMBL157439
1025269,CHEMBL1601385
1312130,CHEMBL1990839
1288283,CHEMBL1966992
642568,CHEMBL1161029
143438,CHEMBL88643
1543719,CHEMBL2369268
624681,CHEMBL1095268
262232,CHEMBL157026
1170823,CHEMBL1818623
181142,CHEMBL111710
1223272,CHEMBL1882701
115772,CHEMBL72778
575746,CHEMBL567588
1102756,CHEMBL1722025
285990,CHEMBL170721
1449168,CHEMBL2218895
1439384,CHEMBL2178588
1160288,CHEMBL1797231
685325,CHEMBL1213481
484619,CHEMBL521309
2093606,CHEMBL3823800
1924090,
19962,CHEMBL17837
1443292,CHEMBL2203686
2039274,CHEMBL3707303
1860912,CHEMBL3444838
335377,CHEMBL372603
1340660,CHEMBL2028404
1530057,CHEMBL2348221
643239,CHEMBL1161700
1158449,CHEMBL1795410
62128,CHEMBL40804
1300632,CHEMBL1979341
1591036,CHEMBL2449295
282065,CHEMBL355865
1817055,CHEMBL3352952
283358,CHEMBL170005
467722,CHEMBL457213
1414847,CHEMBL2142896
1340785,CHEMBL2028529
607187,CHEMBL608357
1782928,CHEMBL3318284
41644,CHEMBL754
1315100,CHEMBL1993809
503057,CHEMBL465388
1410480,CHEMBL2138529
5728,CHEMBL273822
1560157,CHEMBL2380755
59953,CHEMBL39205
1384177,CHEMBL2111926
481850,CHEMBL479707
1671325,CHEMBL3182034
27217,CHEMBL21923
17449,CHEMBL16320
1083365,CHEMBL1702634
498105,CHEMBL1663
202361,CHEMBL122890
513540,CHEMBL461881
504860,CHEMBL458254
1301291,CHEMBL1980000
1287526,CHEMBL1966235
1752915,CHEMBL3274888
228163,CHEMBL140233
1288429,CHEMBL1967138
517710,CHEMBL472446
609939,CHEMBL606517
674793,
979813,CHEMBL1555929
1881055,CHEMBL3464981
1861221,CHEMBL3445147
235501,CHEMBL143247
176861,CHEMBL105838
425070,CHEMBL401583
1740163,CHEMBL3247538
1297096,CHEMBL1975805
482159,CHEMBL520604
329628,CHEMBL198098
1050132,CHEMBL1627241
1946161,CHEMBL3577848
237339,CHEMBL142691
2076261,CHEMBL3780084
132035,CHEMBL310630
21036,CHEMBL602
1293514,CHEMBL1972223
227713,CHEMBL134910
1376336,CHEMBL2104066
1447526,CHEMBL2207877
1293035,CHEMBL1971744
544156,CHEMBL544702
1303119,CHEMBL1981828
1140599,CHEMBL1765575
144341,CHEMBL88971
47704,CHEMBL286184
674645,CHEMBL1200694
33316,CHEMBL25482
293931,CHEMBL174545
1817065,CHEMBL3352962
1151433,CHEMBL1784753
1423969,CHEMBL2153283
1356420,CHEMBL2063026
1325396,CHEMBL2004105
13395,CHEMBL13782
1161336,CHEMBL1800273
465316,CHEMBL459234
277113,CHEMBL355731
1614652,CHEMBL3109452
715015,CHEMBL1288617
1361480,CHEMBL2071322
1248655,CHEMBL1908229
432370,CHEMBL439073
2058361,CHEMBL3752952
1291793,CHEMBL1970502
424634,CHEMBL257807
97656,CHEMBL304004
1298699,CHEMBL1977408
68056,CHEMBL44658
1292530,CHEMBL1971239
742001,CHEMBL1318117
1486377,CHEMBL2269088
79203,CHEMBL416473
251816,CHEMBL346376
201942,CHEMBL124227
1528057,CHEMBL2338368
1002215,CHEMBL1578331
1674252,CHEMBL3184961
138274,CHEMBL313753
1221132,CHEMBL1880561
1606225,CHEMBL3091860
1052325,CHEMBL1630253
1610848,CHEMBL3100063
759540,CHEMBL1335656
192526,CHEMBL332727
112406,CHEMBL71393
1590086,CHEMBL2447938
1590965,CHEMBL2448941
1529474,CHEMBL2347644
608843,CHEMBL612067
43045,CHEMBL31731
373856,CHEMBL1439
1309713,CHEMBL1988422
833821,CHEMBL1409937
1378759,CHEMBL2106489
200149,CHEMBL122629
1378205,CHEMBL2105935
748937,CHEMBL1325053
684850,CHEMBL1213011
1785807,CHEMBL3323235
287434,CHEMBL170630
752817,CHEMBL1328933
1312851,CHEMBL1991560
688771,CHEMBL1222336
482894,CHEMBL516103
518209,CHEMBL447701
1730820,CHEMBL3230176
1148199,CHEMBL1779724
443446,CHEMBL458459
631356,CHEMBL1086445
124086,CHEMBL76739
936656,CHEMBL1512772
1346030,CHEMBL2036495
624748,CHEMBL1094288
73243,CHEMBL47320
2068750,CHEMBL3764064
30711,CHEMBL23302
1287775,CHEMBL1966484
1705632,CHEMBL3216855
505413,CHEMBL517659
518638,CHEMBL513786
207995,CHEMBL124008
702800,CHEMBL1253183
867566,CHEMBL1443682
1748318,CHEMBL3263340
420395,CHEMBL251662
614283,CHEMBL1087373
547619,CHEMBL543207
1750124,CHEMBL3265128
568389,CHEMBL577799
28768,CHEMBL676
1320009,CHEMBL1998718
1059211,CHEMBL1644410
1300263,CHEMBL1978972
1064895,CHEMBL1652018
17025,CHEMBL582
1309598,CHEMBL1988307
1310853,CHEMBL1989562
1611826,CHEMBL3103751
791688,CHEMBL1367804
1785801,CHEMBL3323229
1225338,CHEMBL1884767
5693,CHEMBL266160
79152,CHEMBL51151
1272989,CHEMBL1935510
1180043,CHEMBL1835983
942667,CHEMBL1518783
611372,CHEMBL1081738
1443982,CHEMBL2204369
1817912,CHEMBL3353800
586459,CHEMBL578542
874059,CHEMBL1450175
1296032,CHEMBL1974741
1315841,CHEMBL1994550
230183,CHEMBL140355
16614,CHEMBL16262
1428839,CHEMBL2165402
68022,CHEMBL47100
1298246,CHEMBL1976955
1536437,CHEMBL2359248
1300441,CHEMBL1979150
36208,CHEMBL26857
21561,CHEMBL18663
1487648,CHEMBL2270346
1021080,CHEMBL1597196
88898,CHEMBL56279
1323024,CHEMBL2001733
513707,CHEMBL458305
1378381,CHEMBL2106111
191229,CHEMBL1171
1306413,CHEMBL1985122
821102,CHEMBL1397218
1754535,CHEMBL3276492
1547751,CHEMBL2373300
2081903,CHEMBL3799102
1675193,CHEMBL3185902
1294261,CHEMBL1972970
50971,CHEMBL35150
131132,CHEMBL310903
13590,CHEMBL105
1314407,CHEMBL1993116
611373,CHEMBL1080830
143801,CHEMBL89883
1306639,CHEMBL1985348
1294889,CHEMBL1973598
1672128,CHEMBL3182837
1677849,CHEMBL3188558
1448032,CHEMBL2208378
715417,CHEMBL1289015
1298191,CHEMBL1976900
1146052,CHEMBL1774999
36477,CHEMBL27942
1739891,CHEMBL3247269
1671339,CHEMBL3182048
1311055,CHEMBL1989764
1946162,CHEMBL3577849
1357866,CHEMBL2064458
21128,CHEMBL18621
674679,CHEMBL1200728
95468,CHEMBL60123
1675948,CHEMBL3186657
2082004,CHEMBL3799745
109719,CHEMBL307780
1289212,CHEMBL1967921
465104,CHEMBL517325
1403005,CHEMBL2131054
1941903,CHEMBL3560152
1304553,CHEMBL1983262
1615456,CHEMBL3110248
1148669,CHEMBL1780189
56861,CHEMBL446091
1340674,CHEMBL2028418
504925,CHEMBL452363
119196,CHEMBL75126
2039230,CHEMBL3707259
47014,CHEMBL32773
1672816,CHEMBL3183525
518550,CHEMBL459344
222053,CHEMBL135626
237511,CHEMBL142677
183789,CHEMBL112960
1673211,CHEMBL3183920
6041,CHEMBL9412
774102,CHEMBL1350218
842534,CHEMBL1418650
1740744,CHEMBL3248113
1340536,CHEMBL2028280
705497,CHEMBL1256510
2079537,CHEMBL3793598
302314,CHEMBL180570
331860,CHEMBL198959
482267,CHEMBL479320
48326,CHEMBL36008
47759,CHEMBL287308
1754981,CHEMBL3276934
1406534,CHEMBL2134583
1098269,CHEMBL1717538
1677457,CHEMBL3188166
230500,CHEMBL336669
2041471,CHEMBL3716208
835098,CHEMBL1411214
550687,CHEMBL541528
1675772,CHEMBL3186481
1675367,CHEMBL3186076
1673911,CHEMBL3184620
1799373,CHEMBL3350766
464624,CHEMBL465682
112461,CHEMBL71534
1515313,CHEMBL2316228
543659,CHEMBL545376
250973,CHEMBL423039
