molregno,Compound ChEMBL ID
2085042,CHEMBL3798887
498277,CHEMBL514868
1974607,CHEMBL3641894
1735462,CHEMBL3236924
1022378,CHEMBL1598494
1976702,CHEMBL3643968
451922,CHEMBL510671
2060783,CHEMBL3758817
1561401,CHEMBL2381986
1095388,CHEMBL1714657
641739,CHEMBL1160200
29794,CHEMBL279705
845091,CHEMBL1421207
367158,CHEMBL219106
1821956,CHEMBL3357804
1958183,CHEMBL3605138
818819,CHEMBL1394935
1273400,CHEMBL1938398
238599,CHEMBL343630
757544,CHEMBL1333660
1326148,CHEMBL2004857
1974567,CHEMBL3641855
1989492,CHEMBL3656631
10144,CHEMBL12297
247515,CHEMBL421959
1759402,CHEMBL3288860
520545,CHEMBL453001
822733,CHEMBL1398849
1517902,CHEMBL2323740
1608130,CHEMBL3093746
1956609,CHEMBL3601711
83024,CHEMBL417746
730149,CHEMBL1306265
1354509,CHEMBL2058744
225124,CHEMBL137403
1957686,CHEMBL3604646
451856,CHEMBL471168
708723,CHEMBL1269490
541883,CHEMBL581106
1293736,CHEMBL1972445
1117137,CHEMBL1736406
1112681,CHEMBL1731950
1737447,CHEMBL3244849
625827,CHEMBL1097022
1889075,CHEMBL3473001
2085739,CHEMBL3804903
267242,CHEMBL345473
746700,CHEMBL1322816
497456,CHEMBL473254
70352,CHEMBL46656
1013686,CHEMBL1589802
1226222,CHEMBL1885651
2082245,CHEMBL3798405
1964589,CHEMBL3618238
2007190,CHEMBL3674152
191986,CHEMBL117127
1956016,CHEMBL3601124
849081,CHEMBL1425197
1354956,CHEMBL2059187
1427492,CHEMBL2164069
1842422,CHEMBL3422973
1605827,CHEMBL3088340
1586636,CHEMBL2437476
868972,CHEMBL1445088
163467,CHEMBL101267
1782937,CHEMBL3318293
2093877,CHEMBL3823836
883264,CHEMBL1459380
862157,CHEMBL1438273
804864,CHEMBL1380980
151102,CHEMBL446158
897250,CHEMBL1473366
1907330,CHEMBL3491256
527514,CHEMBL529298
225749,CHEMBL421913
1494190,CHEMBL2287294
1110999,CHEMBL1730268
867012,CHEMBL1443128
1608149,CHEMBL3093765
451437,CHEMBL460952
49814,CHEMBL265757
1957695,CHEMBL3604655
296212,CHEMBL368570
151194,CHEMBL421366
907233,CHEMBL1483349
558261,CHEMBL562565
375974,CHEMBL388185
1487527,CHEMBL2270226
1266004,CHEMBL1922409
707689,CHEMBL1258677
1605835,CHEMBL3088348
182867,CHEMBL321819
278840,CHEMBL166414
2039580,CHEMBL3718402
984049,CHEMBL1560165
789974,CHEMBL1366090
1094138,CHEMBL1713407
1528225,CHEMBL2338534
1561753,CHEMBL2382335
1537072,CHEMBL2359883
1843068,CHEMBL3425693
952321,CHEMBL1528437
246906,CHEMBL149099
1312405,CHEMBL1991114
977197,CHEMBL1553313
1090984,CHEMBL1710253
2029490,CHEMBL3696229
1864238,CHEMBL3448164
1325437,CHEMBL2004146
1494591,CHEMBL2287691
49403,CHEMBL36507
1336358,CHEMBL2018622
1147,CHEMBL268310
1274330,CHEMBL1939485
1051900,CHEMBL1629717
322032,CHEMBL192878
1607183,CHEMBL3092809
534578,CHEMBL532905
604471,CHEMBL604092
1582405,CHEMBL2430359
873008,CHEMBL1449124
527483,CHEMBL527979
1481442,CHEMBL2263590
979870,CHEMBL1555986
1004181,CHEMBL1580297
1036582,CHEMBL1612698
496293,CHEMBL514577
1158685,CHEMBL1795644
24198,CHEMBL277926
947978,CHEMBL1524094
1499860,CHEMBL2296283
709856,CHEMBL1270612
1989417,CHEMBL3656556
1162281,CHEMBL1801209
1149054,CHEMBL1782398
1336467,CHEMBL2018730
896788,CHEMBL1472904
452140,CHEMBL454423
651314,CHEMBL1173207
713799,CHEMBL1277819
1089366,CHEMBL1708635
1248638,CHEMBL1908212
527104,CHEMBL529055
521704,CHEMBL470190
767657,CHEMBL1343773
979041,CHEMBL1555157
2014516,CHEMBL3681404
960747,CHEMBL1536863
1101781,CHEMBL1721050
1166745,CHEMBL1809044
1868897,CHEMBL3452823
196552,CHEMBL325930
205664,CHEMBL125329
1606400,CHEMBL3091469
1147746,CHEMBL1779275
529323,CHEMBL587211
288654,CHEMBL424170
1956117,CHEMBL3601224
1976714,CHEMBL3643980
497736,CHEMBL475074
563158,CHEMBL550077
932348,CHEMBL1508464
1007384,CHEMBL1583500
417794,CHEMBL249957
818936,CHEMBL1395052
840330,CHEMBL1416446
418181,CHEMBL398757
2072706,CHEMBL3769698
81583,CHEMBL52688
824836,CHEMBL1400952
430526,CHEMBL261133
1863331,CHEMBL3447257
82757,CHEMBL55808
2089522,CHEMBL3814270
769386,CHEMBL1345502
36649,CHEMBL280582
966936,CHEMBL1543052
1826634,CHEMBL3392683
752823,CHEMBL1328939
259645,CHEMBL156343
1029432,CHEMBL1605548
750376,CHEMBL1326492
1824485,CHEMBL3360308
49812,CHEMBL36284
1874845,CHEMBL3458771
126152,CHEMBL78578
248677,CHEMBL148583
1445417,CHEMBL2205789
1576976,CHEMBL2418208
357323,CHEMBL212070
295693,CHEMBL367228
1621446,CHEMBL3122118
1319923,CHEMBL1998632
1579027,CHEMBL2420238
831106,CHEMBL1407222
537151,CHEMBL580103
1101413,CHEMBL1720682
771555,CHEMBL1347671
800858,CHEMBL1376974
1578086,CHEMBL2419307
946855,CHEMBL1522971
921310,CHEMBL1497426
632501,CHEMBL1086262
1094707,CHEMBL1713976
1571449,CHEMBL2403844
1681998,CHEMBL3192707
1145384,CHEMBL1774338
387438,CHEMBL242677
1145381,CHEMBL1774335
750337,CHEMBL1326453
2056351,CHEMBL3747324
1222209,CHEMBL1881638
529488,CHEMBL524764
1981739,CHEMBL3648955
1742403,CHEMBL3249755
1985645,CHEMBL3652822
1570666,CHEMBL2403069
460076,CHEMBL507569
631928,CHEMBL1085406
1568971,CHEMBL2398450
984166,CHEMBL1560282
1581399,CHEMBL2426277
557753,CHEMBL563016
1327549,CHEMBL2006258
978901,CHEMBL1555017
882196,CHEMBL1458312
2093861,CHEMBL3824327
1017592,CHEMBL1593708
904477,CHEMBL1480593
1099112,CHEMBL1718381
317761,CHEMBL435938
1103269,CHEMBL1722538
2022310,CHEMBL3689120
1429567,CHEMBL2170087
59579,CHEMBL156
1825071,CHEMBL3360888
387368,CHEMBL242869
2078667,CHEMBL3785890
745702,CHEMBL1321818
858602,CHEMBL1434718
2657,CHEMBL8070
2060416,CHEMBL3753461
757178,CHEMBL1333294
207147,CHEMBL126335
1579987,CHEMBL2424879
981416,CHEMBL1557532
1242244,CHEMBL1901673
543088,CHEMBL537381
1990113,CHEMBL3657245
135620,CHEMBL84695
81697,CHEMBL52947
95181,CHEMBL61989
325949,CHEMBL194387
839378,CHEMBL1415494
884037,CHEMBL1460153
2092945,CHEMBL3822943
1523265,CHEMBL2333624
758612,CHEMBL1334728
596468,CHEMBL596807
295266,CHEMBL175747
1998895,CHEMBL3665940
1431238,CHEMBL2171741
1572980,CHEMBL2408566
745613,CHEMBL1321729
886125,CHEMBL1462241
1976708,CHEMBL3643974
189797,CHEMBL114947
2040216,CHEMBL3718677
1016648,CHEMBL1592764
1056514,CHEMBL1642142
1998897,CHEMBL3665942
1842429,CHEMBL3422980
455214,CHEMBL507594
541323,CHEMBL580254
1011317,CHEMBL1587433
785473,CHEMBL1361589
32130,CHEMBL24102
541074,CHEMBL582146
1862287,CHEMBL3446213
1621436,CHEMBL3122108
1747220,CHEMBL3262253
816437,CHEMBL1392553
2039585,CHEMBL3716526
1241054,CHEMBL1900483
747128,CHEMBL1323244
1621438,CHEMBL3122110
1959381,CHEMBL3608527
1990251,CHEMBL3657382
1006868,CHEMBL1582984
1170312,CHEMBL1818117
2014141,CHEMBL3681033
919423,CHEMBL1495539
248447,CHEMBL150048
1705168,CHEMBL3216391
803517,CHEMBL1379633
1166906,CHEMBL1809203
1157523,CHEMBL1793892
1737232,CHEMBL3244636
1111186,CHEMBL1730455
1414166,CHEMBL2142215
316404,CHEMBL188157
1875313,CHEMBL3459239
966617,CHEMBL1542733
230163,CHEMBL141343
1882854,CHEMBL3466780
97247,CHEMBL62231
1531421,CHEMBL2349571
1570674,CHEMBL2403077
2083806,CHEMBL3799879
79082,CHEMBL906
109075,CHEMBL305299
1990197,CHEMBL3657329
509607,CHEMBL483313
1517899,CHEMBL2323738
604391,CHEMBL598382
2018078,CHEMBL3684931
1576979,CHEMBL2418211
627141,CHEMBL1096547
226023,CHEMBL135883
1274334,CHEMBL1939489
2095357,CHEMBL3827889
861832,CHEMBL1437948
2040316,CHEMBL3717291
1742414,CHEMBL3249766
1958041,CHEMBL3604997
1821866,CHEMBL3357715
370818,CHEMBL220525
2656,CHEMBL8210
574905,CHEMBL582829
524590,CHEMBL527806
101091,CHEMBL65620
36332,CHEMBL431290
879849,CHEMBL1455965
813817,CHEMBL1389933
1989473,CHEMBL3656612
29834,CHEMBL277438
627275,CHEMBL1098836
977643,CHEMBL1553759
1908665,CHEMBL3492591
836955,CHEMBL1413071
514068,CHEMBL484216
1566147,CHEMBL2392564
1274163,CHEMBL1939320
74930,CHEMBL301109
865418,CHEMBL1441534
2032902,CHEMBL3699606
1030594,CHEMBL1606710
2071404,CHEMBL3771118
1481471,CHEMBL2263619
1074907,CHEMBL1684603
1558647,CHEMBL2376806
2093846,CHEMBL3823165
744828,CHEMBL1320944
1955977,CHEMBL3601086
1926524,CHEMBL3544676
842351,CHEMBL1418467
218876,CHEMBL133482
1993921,CHEMBL3661015
163729,CHEMBL328636
2088521,CHEMBL3810081
2078655,CHEMBL3785232
1844373,CHEMBL3426985
1955970,CHEMBL3601079
1299236,CHEMBL1977945
1624541,CHEMBL3127911
745478,CHEMBL1321594
225752,CHEMBL136093
85197,CHEMBL56302
1369216,CHEMBL2094759
1846229,CHEMBL3431358
1686469,CHEMBL3197178
802973,CHEMBL1379089
86255,CHEMBL55584
1872110,CHEMBL3456036
1760254,CHEMBL3289704
1233,CHEMBL268456
574964,CHEMBL569181
1672257,CHEMBL3182966
146375,CHEMBL90600
746229,CHEMBL1322345
14111,CHEMBL279644
1358133,CHEMBL2064722
749303,CHEMBL1325419
337718,CHEMBL382959
959342,CHEMBL1535458
710267,CHEMBL1271019
101423,CHEMBL291807
2042210,CHEMBL3716926
1224239,CHEMBL1883668
1365782,CHEMBL2088113
1219841,CHEMBL1879270
1170310,CHEMBL1818115
377506,CHEMBL390763
1117280,CHEMBL1736549
1360264,CHEMBL2070118
1993858,CHEMBL3660953
987135,CHEMBL1563251
1974612,CHEMBL3641899
1962148,CHEMBL3613436
1990223,CHEMBL3657354
155994,CHEMBL329582
1294537,CHEMBL1973246
86762,CHEMBL55526
225944,CHEMBL335861
1608022,CHEMBL3093639
850240,CHEMBL1426356
557901,CHEMBL564291
273090,CHEMBL163410
1099334,CHEMBL1718603
249674,CHEMBL146968
1358075,CHEMBL2064665
1989519,CHEMBL3656657
220564,CHEMBL131977
1210417,CHEMBL1869846
895447,CHEMBL1471563
731703,CHEMBL1307819
896771,CHEMBL1472887
572874,CHEMBL575510
1528223,CHEMBL2338532
1832396,CHEMBL3402188
1993829,CHEMBL3660924
125884,CHEMBL78836
735202,CHEMBL1311318
1990125,CHEMBL3657257
1166776,CHEMBL1809075
1678419,CHEMBL3189128
736942,CHEMBL1313058
819541,CHEMBL1395657
1101444,CHEMBL1720713
102263,CHEMBL294076
664,CHEMBL268388
2008308,CHEMBL3675258
2010474,CHEMBL3677403
539385,CHEMBL580539
151101,CHEMBL420810
2093841,CHEMBL3824304
897524,CHEMBL1473640
536209,CHEMBL580100
216623,CHEMBL131521
556304,CHEMBL559513
1209249,CHEMBL1868678
255447,CHEMBL154604
958722,CHEMBL1534838
539373,CHEMBL546431
1420610,CHEMBL2147113
1956121,CHEMBL3601228
1883092,CHEMBL3467018
1859516,CHEMBL3443442
1332899,CHEMBL2011846
93317,CHEMBL59176
754003,CHEMBL1330119
1422643,CHEMBL2151970
1779007,CHEMBL3309912
1081792,CHEMBL1701061
1890997,CHEMBL3474923
1180330,CHEMBL1836267
1867184,CHEMBL3451110
541137,CHEMBL534796
581775,CHEMBL565665
213554,CHEMBL339296
30575,CHEMBL23886
912513,CHEMBL1488629
2093853,CHEMBL3824007
1205484,CHEMBL1864913
616055,CHEMBL1086179
889006,CHEMBL1465122
1703387,CHEMBL3214096
725300,CHEMBL1301416
859633,CHEMBL1435749
777150,CHEMBL1353266
1895036,CHEMBL3478962
2010486,CHEMBL3677415
366810,CHEMBL220482
456655,CHEMBL474537
1365759,CHEMBL2088090
1832605,CHEMBL3402394
1869722,CHEMBL3453648
917187,CHEMBL1493303
736329,CHEMBL1312445
418091,CHEMBL249764
779060,CHEMBL1355176
1989548,CHEMBL3656686
355010,CHEMBL212865
2042218,CHEMBL3715483
633326,CHEMBL1083342
96454,CHEMBL302460
1989937,CHEMBL3657071
495369,CHEMBL460815
1837456,CHEMBL3410676
1989453,CHEMBL3656592
1867159,CHEMBL3451085
1750740,CHEMBL3272735
537510,CHEMBL579790
83439,CHEMBL55454
1698175,CHEMBL3208884
1725513,CHEMBL3219126
118085,CHEMBL75376
1960175,CHEMBL3609313
1274164,CHEMBL1939321
1274338,CHEMBL1939493
1428490,CHEMBL2165057
1313709,CHEMBL1992418
1320278,CHEMBL1998987
1678891,CHEMBL3189600
853761,CHEMBL1429877
134892,CHEMBL314720
1861723,CHEMBL3445649
1989529,CHEMBL3656667
360124,CHEMBL383977
735059,CHEMBL1311175
1756369,CHEMBL3278308
709228,CHEMBL1269990
1983504,CHEMBL3650702
1493738,CHEMBL2286846
2056687,CHEMBL3746553
529362,CHEMBL525488
1973162,CHEMBL3640464
135572,CHEMBL83644
2082247,CHEMBL3798665
82182,CHEMBL54733
2092937,CHEMBL3822583
1296629,CHEMBL1975338
1729081,CHEMBL3228455
1323129,CHEMBL2001838
1621434,CHEMBL3122106
1056653,CHEMBL1642256
408302,CHEMBL396327
404587,CHEMBL240176
540658,CHEMBL535222
1001577,CHEMBL1577693
1517904,CHEMBL2323742
1831012,CHEMBL3400817
56238,CHEMBL38566
12796,CHEMBL13762
1968782,CHEMBL3628825
855324,CHEMBL1431440
914859,CHEMBL1490975
1315631,CHEMBL1994340
677293,CHEMBL1203342
1993808,CHEMBL3660903
1231155,CHEMBL1890584
709755,CHEMBL1270512
1377487,CHEMBL2105217
2089531,CHEMBL3813859
1199628,CHEMBL1859039
1990241,CHEMBL3657372
1297847,CHEMBL1976556
321980,CHEMBL192225
2074414,CHEMBL3774738
1002858,CHEMBL1578974
417780,CHEMBL400123
594591,CHEMBL605413
164529,CHEMBL99685
1335337,CHEMBL2017611
1471428,CHEMBL2235914
944487,CHEMBL1520603
1559342,CHEMBL2377494
1728492,CHEMBL3222076
1821876,CHEMBL3357725
626424,CHEMBL1094401
118805,CHEMBL73228
570502,CHEMBL574839
1989585,CHEMBL3656723
2002132,CHEMBL3669144
774133,CHEMBL1350249
1213961,CHEMBL1873390
139490,CHEMBL316224
596405,CHEMBL603255
1365764,CHEMBL2088095
743981,CHEMBL1320097
343850,CHEMBL205654
1444856,CHEMBL2205234
593136,CHEMBL592900
1571454,CHEMBL2403849
1968491,CHEMBL3628537
1241935,CHEMBL1901364
746300,CHEMBL1322416
1005033,CHEMBL1581149
581650,CHEMBL570790
1974506,CHEMBL3641794
1249397,CHEMBL1909810
538670,CHEMBL548106
1103478,CHEMBL1722747
130024,CHEMBL79347
420427,CHEMBL253762
1989464,CHEMBL3656603
366811,CHEMBL374985
208253,CHEMBL124572
1608019,CHEMBL3093636
1846041,CHEMBL3431172
1271970,CHEMBL1934501
493573,CHEMBL522914
126153,CHEMBL78631
2057677,CHEMBL3753912
1870511,CHEMBL3454437
1323990,CHEMBL2002699
196051,CHEMBL117893
1968776,CHEMBL3628819
266764,CHEMBL350921
945691,CHEMBL1521807
2061755,CHEMBL3758385
1989551,CHEMBL3656689
281341,CHEMBL169462
252326,CHEMBL265800
533820,CHEMBL587891
517426,CHEMBL511131
1290550,CHEMBL1969259
1786736,CHEMBL3325924
30929,CHEMBL25880
1974523,CHEMBL3641811
625578,CHEMBL1094477
811887,CHEMBL1388003
983666,CHEMBL1559782
1110426,CHEMBL1729695
576411,CHEMBL565562
515546,CHEMBL456651
1968781,CHEMBL3628824
906637,CHEMBL1482753
1608142,CHEMBL3093758
2083683,CHEMBL3797347
2040318,CHEMBL3719265
1699500,CHEMBL3210209
1104838,CHEMBL1724107
1990157,CHEMBL3657289
1320916,CHEMBL1999625
1354213,CHEMBL2058451
1420627,CHEMBL2147130
375847,CHEMBL223498
962018,CHEMBL1538134
398918,CHEMBL236925
2009175,CHEMBL3676117
1170968,CHEMBL1818767
709857,CHEMBL1270613
1181001,CHEMBL1836931
225919,CHEMBL138172
367802,CHEMBL376860
633032,CHEMBL1084025
2077773,CHEMBL3786892
1998860,CHEMBL3665905
1098206,CHEMBL1717475
67243,CHEMBL46808
1957733,CHEMBL3604692
1392,CHEMBL268879
1607178,CHEMBL3092804
251385,CHEMBL423950
14842,CHEMBL14940
226453,CHEMBL136650
2009179,CHEMBL3676121
1958058,CHEMBL3605014
1415588,CHEMBL2143637
379243,CHEMBL226294
97482,CHEMBL292600
1377764,CHEMBL2105494
730634,CHEMBL1306750
806791,CHEMBL1382907
190248,CHEMBL114518
84468,CHEMBL56005
79455,CHEMBL50739
979665,CHEMBL1555781
970684,CHEMBL1546800
1990136,CHEMBL3657268
776052,CHEMBL1352168
516577,CHEMBL487967
341268,CHEMBL438447
2057681,CHEMBL3753861
1438934,CHEMBL2178142
1701545,CHEMBL3212254
82204,CHEMBL445359
535686,CHEMBL546463
1993816,CHEMBL3660911
710128,CHEMBL1270881
2090932,CHEMBL3818073
1700796,CHEMBL3211505
1062667,CHEMBL1650726
1070570,CHEMBL1673049
762884,CHEMBL1339000
1826662,CHEMBL3392711
1062671,CHEMBL1650730
1906071,CHEMBL3489997
2088527,CHEMBL3810035
949608,CHEMBL1525724
1869056,CHEMBL3452982
645574,CHEMBL1163663
1985653,CHEMBL3652830
61398,CHEMBL43848
449697,CHEMBL461303
813190,CHEMBL1389306
762145,CHEMBL1338261
648981,CHEMBL1171874
340341,CHEMBL203913
894386,CHEMBL1470502
1859813,CHEMBL3443739
48637,CHEMBL36083
989125,CHEMBL1565241
556286,CHEMBL562104
709957,CHEMBL1270712
1471835,CHEMBL2236317
986314,CHEMBL1562430
997780,CHEMBL1573896
191610,CHEMBL117588
979167,CHEMBL1555283
1056662,CHEMBL1642265
1958164,CHEMBL3605119
1613988,CHEMBL3105892
1871825,CHEMBL3455751
914388,CHEMBL1490504
1855328,CHEMBL3439254
781720,CHEMBL1357836
992121,CHEMBL1568237
687039,CHEMBL1215178
1608009,CHEMBL3093626
839688,CHEMBL1415804
1738744,CHEMBL3246133
1309552,CHEMBL1988261
420458,CHEMBL255019
1729087,CHEMBL3228461
1276799,CHEMBL1945424
1888324,CHEMBL3472250
1956135,CHEMBL3601242
1471424,CHEMBL2235910
1792227,CHEMBL3337734
322682,CHEMBL364236
420433,CHEMBL253976
1974401,CHEMBL3641690
940713,CHEMBL1516829
970914,CHEMBL1547030
13207,CHEMBL14234
1361430,CHEMBL2071272
575087,CHEMBL576683
495923,CHEMBL463116
1915,CHEMBL7492
199095,CHEMBL121303
1305839,CHEMBL1984548
1846098,CHEMBL3431229
1631781,CHEMBL3142490
746421,CHEMBL1322537
565113,CHEMBL550964
604205,CHEMBL598994
2027829,CHEMBL3694584
1750726,CHEMBL3272721
1009022,CHEMBL1585138
1738491,CHEMBL3245883
1976704,CHEMBL3643970
48965,CHEMBL287143
1342587,CHEMBL2030532
756024,CHEMBL1332140
1137527,CHEMBL1760256
460454,CHEMBL490708
572794,CHEMBL573976
885892,CHEMBL1462008
1824358,CHEMBL3360182
2039955,CHEMBL3715629
511967,CHEMBL457621
858985,CHEMBL1435101
1957692,CHEMBL3604652
2018576,CHEMBL3685424
1951274,CHEMBL3590118
999311,CHEMBL1575427
576735,CHEMBL568607
1750502,CHEMBL3272499
217223,CHEMBL335629
250057,CHEMBL146917
400328,CHEMBL235167
1748964,CHEMBL3263980
1842983,CHEMBL3425609
117932,CHEMBL72458
1957673,CHEMBL3604633
825559,CHEMBL1401675
798200,CHEMBL1374316
1989489,CHEMBL3656628
2032905,CHEMBL3699609
870160,CHEMBL1446276
497801,CHEMBL475482
1580006,CHEMBL2424897
2056538,CHEMBL3747125
1082499,CHEMBL1701768
848482,CHEMBL1424598
1224797,CHEMBL1884226
1058734,CHEMBL1643991
896183,CHEMBL1472299
316541,CHEMBL364546
1103869,CHEMBL1723138
321879,CHEMBL362930
2054301,CHEMBL3741217
1349128,CHEMBL2042694
1237733,CHEMBL1897162
1174559,CHEMBL1824458
1560921,CHEMBL2381511
1471832,CHEMBL2236314
751574,CHEMBL1327690
232354,CHEMBL141903
1993807,CHEMBL3660902
1993893,CHEMBL3660988
2029188,CHEMBL3695930
1826253,CHEMBL3392302
495460,CHEMBL459069
1002744,CHEMBL1578860
579868,CHEMBL568799
1269845,CHEMBL1928874
1306212,CHEMBL1984921
1058717,CHEMBL1643975
1297710,CHEMBL1976419
769751,CHEMBL1345867
1624906,CHEMBL3128272
1968773,CHEMBL3628816
1520903,CHEMBL2326711
1756379,CHEMBL3278318
528514,CHEMBL529346
846542,CHEMBL1422658
534637,CHEMBL532241
1824504,CHEMBL3360326
1817503,CHEMBL3353395
1361279,CHEMBL2071123
366618,CHEMBL219218
1520905,CHEMBL2326713
1240222,CHEMBL1899651
1984694,CHEMBL3651881
958295,CHEMBL1534411
209063,CHEMBL126671
2078479,CHEMBL3787671
1563874,CHEMBL2387101
43743,CHEMBL281467
737162,CHEMBL1313278
2027823,CHEMBL3694578
1837466,CHEMBL3410686
1427107,CHEMBL2163687
1842426,CHEMBL3422977
207490,CHEMBL439604
631181,CHEMBL1084337
1900993,CHEMBL3484919
1884763,CHEMBL3468689
1159665,CHEMBL1796614
603432,CHEMBL606428
1951278,CHEMBL3590122
1832429,CHEMBL3402220
1841766,CHEMBL3422324
1009788,CHEMBL1585904
54692,CHEMBL35936
1989446,CHEMBL3656585
783854,CHEMBL1359970
685166,CHEMBL1213324
846979,CHEMBL1423095
188052,CHEMBL116792
742897,CHEMBL1319013
725023,CHEMBL1301139
41623,CHEMBL27571
47990,CHEMBL35961
72095,CHEMBL46163
341581,CHEMBL382793
1607152,CHEMBL3092778
1990131,CHEMBL3657263
1018013,CHEMBL1594129
631969,CHEMBL1083175
2079852,CHEMBL3793746
1876282,CHEMBL3460208
581716,CHEMBL570796
1738195,CHEMBL3245590
2077769,CHEMBL3786763
209060,CHEMBL126144
583786,CHEMBL581486
2082056,CHEMBL3797520
1906482,CHEMBL3490408
248935,CHEMBL357940
2019227,CHEMBL3686068
625406,CHEMBL1094135
1560917,CHEMBL2381507
1226568,CHEMBL1885997
1683653,CHEMBL3194362
1225463,CHEMBL1884892
30236,CHEMBL23286
760400,CHEMBL1336516
272755,CHEMBL164845
1989539,CHEMBL3656677
2019225,CHEMBL3686066
74080,CHEMBL299858
1031780,CHEMBL1607896
1621448,CHEMBL3122120
570493,CHEMBL584148
1994622,CHEMBL3661709
1520904,CHEMBL2326712
68970,CHEMBL288752
540868,CHEMBL579607
1619045,CHEMBL3116060
852167,CHEMBL1428283
1561174,CHEMBL2381762
1974582,CHEMBL3641870
1974475,CHEMBL3641764
1736479,CHEMBL3237931
1946758,CHEMBL3580709
42380,CHEMBL31249
218620,CHEMBL337454
782936,CHEMBL1359052
760575,CHEMBL1336691
400955,CHEMBL236217
1868242,CHEMBL3452168
1738752,CHEMBL3246141
1336466,CHEMBL2018729
1756730,CHEMBL3278665
282494,CHEMBL169430
400999,CHEMBL238140
163454,CHEMBL98655
1164984,CHEMBL1807301
120359,CHEMBL310692
632900,CHEMBL1083533
1756360,CHEMBL3278299
39408,CHEMBL29143
1892936,CHEMBL3476862
1579995,CHEMBL2424887
386432,CHEMBL244629
893387,CHEMBL1469503
933812,CHEMBL1509928
1288202,CHEMBL1966911
1243935,CHEMBL1903364
1364975,CHEMBL2087314
360201,CHEMBL384008
1728930,CHEMBL3228305
685532,CHEMBL1213686
704493,CHEMBL1255024
1108955,CHEMBL1728224
1898014,CHEMBL3481940
251078,CHEMBL151172
42270,CHEMBL31366
539074,CHEMBL582610
501792,CHEMBL495839
1427478,CHEMBL2164055
822314,CHEMBL1398430
2032901,CHEMBL3699605
1974542,CHEMBL3641830
1493752,CHEMBL2286860
2054300,CHEMBL3740631
1981798,CHEMBL3649014
420499,CHEMBL251436
1438931,CHEMBL2178139
1079866,CHEMBL1699135
305840,CHEMBL181762
532174,CHEMBL582120
1103768,CHEMBL1723037
1586639,CHEMBL2437479
281243,CHEMBL169952
572859,CHEMBL573748
734522,CHEMBL1310638
1689218,CHEMBL3199927
252236,CHEMBL153702
1782857,CHEMBL3318214
911940,CHEMBL1488056
625579,CHEMBL1094478
1993859,CHEMBL3660954
956250,CHEMBL1532366
204648,CHEMBL338629
1109380,CHEMBL1728649
1989958,CHEMBL3657092
1032410,CHEMBL1608526
1608143,CHEMBL3093759
1913739,CHEMBL3497665
2032574,CHEMBL3699282
1739487,CHEMBL3246869
1473817,CHEMBL2238279
1489242,CHEMBL2271924
1249866,CHEMBL1910274
